step,reward,seed
0,244.6066448062112,0
25000,154.14639439982335,0
50000,57.72533294221794,0
75000,205.64795611664232,0
100000,162.28919414118673,0
125000,26.76276960869636,0
150000,222.22382685865745,0
175000,246.4046980276823,0
200000,285.43031002297425,0
225000,275.0468919041647,0
250000,350.8022636412843,0
275000,248.08595016437545,0
300000,405.8359556225684,0
325000,376.45888709624745,0
350000,315.20825441871705,0
375000,304.04601406934205,0
400000,379.65344679565226,0
425000,393.9112911046846,0
450000,555.867380041883,0
475000,556.5582728925507,0
500000,630.7711581192113,0
525000,690.7866560030243,0
550000,737.6602867175341,0
575000,718.5864218376837,0
600000,784.5727974667645,0
625000,770.0185587564212,0
650000,796.4492681579426,0
675000,806.9107246776942,0
700000,800.9361804773486,0
725000,795.8024079693838,0
750000,806.5157243755077,0
775000,814.4849182989027,0
800000,821.6685728456554,0
825000,835.6382262684583,0
850000,855.4539967365099,0
875000,853.4419612791295,0
900000,848.908544753472,0
925000,843.8059747986217,0
950000,842.1865715307185,0
975000,869.6693175337056,0
1000000,869.6693175337056,0
0,108.36353313308314,1
25000,251.05030475210847,1
50000,28.89041163545868,1
75000,66.9920759795223,1
100000,259.42472076988,1
125000,260.8395894986154,1
150000,268.1326200227689,1
175000,278.76468921566226,1
200000,236.57704386119377,1
225000,310.6844761295862,1
250000,290.3422838331344,1
275000,248.346278763188,1
300000,330.32742558311674,1
325000,289.29024442830257,1
350000,292.8025563258957,1
375000,290.9207262682232,1
400000,291.3421463064225,1
425000,293.60500646828416,1
450000,288.6792098889052,1
475000,250.62671179085515,1
500000,318.46518232809177,1
525000,285.1758649776502,1
550000,439.8254971845248,1
575000,329.7412094308214,1
600000,387.28917199148,1
625000,499.8375733150532,1
650000,252.54922884625915,1
675000,292.04148872496654,1
700000,346.5837646367243,1
725000,350.7198374380286,1
750000,422.39130015838754,1
775000,350.15564821326,1
800000,352.15529918888814,1
825000,470.6147200307222,1
850000,524.536439935688,1
875000,336.5046749013478,1
900000,622.7584324008934,1
925000,647.2606339003386,1
950000,576.1442635491878,1
975000,792.0015399682662,1
1000000,792.0015399682662,1
0,157.11490050535352,2
25000,61.33786047718305,2
50000,26.75705618431967,2
75000,37.96709351506866,2
100000,200.5934446168625,2
125000,300.77042993789894,2
150000,243.92192769024737,2
175000,366.6734467866533,2
200000,476.8147100484901,2
225000,471.3397587976841,2
250000,626.2798304377128,2
275000,680.1876405871461,2
300000,633.4367068806889,2
325000,650.1635502142861,2
350000,622.3543598210092,2
375000,725.9809204177731,2
400000,753.5781994458141,2
425000,744.6774446991142,2
450000,748.0652852615756,2
475000,753.9145501917312,2
500000,771.1319447768535,2
525000,757.5952474335282,2
550000,779.301845494856,2
575000,769.5948699882879,2
600000,784.7274282070912,2
625000,751.335687037578,2
650000,795.0699602657816,2
675000,791.6226839860032,2
700000,798.0023221083034,2
725000,802.2472657185302,2
750000,790.8744158620448,2
775000,799.9837588348203,2
800000,826.1738160262075,2
825000,817.9895566017728,2
850000,796.3569214026195,2
875000,802.4058377039817,2
900000,812.6030150365157,2
925000,817.9989001782842,2
950000,835.3893297894004,2
975000,770.8301577920398,2
1000000,835.3893297894004,2
0,197.52510008976705,3
25000,300.2682014472057,3
50000,62.39578989376344,3
75000,201.9967957952874,3
100000,165.9965364531484,3
125000,287.2538881247406,3
150000,177.25665867954245,3
175000,186.54181818865348,3
200000,333.08409861884445,3
225000,468.4313295580828,3
250000,485.29395238676506,3
275000,496.6385416725009,3
300000,559.0769958615629,3
325000,606.8249372587891,3
350000,674.6641833833983,3
375000,642.3411801552403,3
400000,750.3396485117586,3
425000,774.1760901708335,3
450000,782.0784414542769,3
475000,774.9937387376287,3
500000,801.1501581303822,3
525000,821.0992949017012,3
550000,826.3608699042954,3
575000,824.2387606895787,3
600000,845.036591553624,3
625000,841.987074187886,3
650000,851.3617238367424,3
675000,880.0248788172905,3
700000,841.4055167369781,3
725000,883.6381174538298,3
750000,904.0412330087888,3
775000,911.165850087516,3
800000,871.2229668389828,3
825000,904.4092649573169,3
850000,902.7620694724108,3
875000,919.3928157398884,3
900000,902.5915337417993,3
925000,914.5937313113536,3
950000,889.4005074217346,3
975000,915.7643267550136,3
1000000,919.3928157398884,3
0,110.96792639231516,4
25000,53.27712555279768,4
50000,104.75747243979468,4
75000,208.28777174704928,4
100000,74.87199738933646,4
125000,118.8356803624104,4
150000,135.4125479232792,4
175000,175.09023420891737,4
200000,472.5795839690667,4
225000,488.1457526625859,4
250000,503.5228675629716,4
275000,653.2470001455324,4
300000,641.6752657549466,4
325000,748.3488948338277,4
350000,691.9854765915611,4
375000,754.6443469657718,4
400000,775.7664138041566,4
425000,808.1264913595539,4
450000,818.6777293323865,4
475000,805.2557955000901,4
500000,844.1504531385106,4
525000,824.103587660388,4
550000,845.2410916023509,4
575000,874.8940326693664,4
600000,875.4214790928243,4
625000,879.144080760159,4
650000,886.3137986327183,4
675000,878.8286575409278,4
700000,905.2163667157632,4
725000,890.1160604008189,4
750000,846.9195622529405,4
775000,909.129685992986,4
800000,914.9798140774004,4
825000,891.546508531027,4
850000,917.4004836983617,4
875000,912.3401544549145,4
900000,894.6666293003594,4
925000,901.7337091690586,4
950000,913.2441780784636,4
975000,885.6425180770135,4
1000000,917.4004836983617,4
0,58.90634193799316,5
25000,104.75015649531504,5
50000,158.83052953496764,5
75000,113.04999496270402,5
100000,124.0189991554398,5
125000,62.23330083652965,5
150000,22.913810054234848,5
175000,273.9195471931119,5
200000,238.24810272950057,5
225000,290.1642775211821,5
250000,305.0412347779863,5
275000,348.61751665654293,5
300000,282.1766182915253,5
325000,383.1586334587611,5
350000,295.687738578718,5
375000,356.9283970744558,5
400000,287.17786411210096,5
425000,314.06852597528604,5
450000,266.3565639780917,5
475000,252.0878391510546,5
500000,378.3859867856899,5
525000,344.6100779245929,5
550000,253.68564797385687,5
575000,296.2049816226777,5
600000,382.4033036120685,5
625000,378.7452463656568,5
650000,351.72427742184976,5
675000,304.4622062352777,5
700000,303.77892201295964,5
725000,357.0478597200816,5
750000,402.84552473549934,5
775000,307.43296022376154,5
800000,301.38725538290623,5
825000,353.63869020606296,5
850000,405.1426066440803,5
875000,254.28615225315892,5
900000,362.9807797195364,5
925000,415.0878397625118,5
950000,306.7765133414945,5
975000,254.5181876386084,5
1000000,415.0878397625118,5
0,153.38935038284714,6
25000,12.05657531558877,6
50000,105.09019115243052,6
75000,68.83237082473735,6
100000,140.05930488595072,6
125000,284.15065419262964,6
150000,240.7840342029825,6
175000,434.989423607421,6
200000,466.6447138818984,6
225000,535.0284891602712,6
250000,622.3082523057012,6
275000,633.0298061294413,6
300000,607.6245592620332,6
325000,713.5992369279866,6
350000,668.0854602688889,6
375000,687.4605005270575,6
400000,701.2495754664739,6
425000,636.9856372027566,6
450000,743.6943002449406,6
475000,704.7293068030347,6
500000,712.6376214280942,6
525000,722.070311275487,6
550000,730.3000418695183,6
575000,684.3776944598451,6
600000,760.8381799878912,6
625000,754.5770948486564,6
650000,719.8983851453802,6
675000,756.2673944295532,6
700000,774.0670379494359,6
725000,776.0469092560237,6
